wage,hours,IQ,educ,exper,tenure,age,married,black,south,urban
1000,50,97,12,17,15,36,1,0,0,1
675,40,105,15,8,2,31,1,0,0,0
1100,37,100,12,14,1,30,1,0,0,1
996,50,114,12,5,14,31,1,0,0,1
732,40,73,10,17,5,36,1,0,0,1
1200,40,96,11,15,3,37,1,0,0,1
1694,30,113,15,9,8,29,0,0,0,1
686,55,106,10,15,3,36,1,0,1,1
754,40,104,13,9,5,32,1,0,0,1
857,35,80,10,14,15,33,1,0,0,1
832,50,104,13,4,2,30,1,0,0,1
579,44,122,13,8,1,30,1,0,0,0
672,61,96,12,13,3,34,1,0,0,1
2500,40,95,15,12,9,36,1,0,0,1
1076,45,105,12,5,8,31,0,0,0,1
750,40,94,12,16,3,37,1,1,0,1
1186,30,91,17,8,9,33,1,0,0,1
833,48,96,16,9,7,31,1,0,0,1
650,40,69,12,14,11,30,1,1,0,1
1250,46,110,12,5,16,38,1,0,0,0
1122,48,111,15,12,9,31,1,0,0,1
865,40,110,16,1,11,31,1,0,0,1
808,40,97,16,10,7,29,1,0,0,1
1299,60,125,18,6,12,35,0,0,0,1
903,40,91,12,6,12,36,1,0,0,1
900,40,86,12,17,15,37,1,0,0,1
625,40,110,12,18,0,35,1,0,0,1
1586,40,92,14,16,1,36,1,0,1,1
962,40,85,10,15,16,38,1,0,0,1
1539,45,120,17,7,8,34,1,0,0,1
1110,52,106,12,11,6,33,1,0,0,0
1282,45,112,16,6,6,31,0,0,1,1
770,48,91,12,13,2,38,1,0,0,1
1000,45,90,12,16,0,38,1,0,0,1
895,40,86,9,17,16,38,1,1,0,0
1205,40,86,10,13,0,32,1,1,0,1
750,40,113,12,11,10,29,1,0,0,0
654,50,111,13,5,16,38,1,0,0,1
601,48,111,12,15,3,33,1,0,0,1
600,40,106,13,10,11,28,1,0,0,1
433,40,98,12,11,10,30,0,0,0,1
1188,40,105,12,11,7,30,1,0,0,1
635,40,105,12,15,15,33,1,0,0,0
1225,40,118,13,9,14,32,1,0,0,1
1151,45,90,12,19,19,36,1,0,0,1
865,40,95,12,15,11,32,0,0,0,1
1031,40,112,14,9,5,29,1,0,0,1
1049,55,120,12,9,11,32,1,0,0,1
1000,45,123,12,12,1,29,1,0,0,1
1105,40,103,13,10,11,30,1,0,0,1
1924,50,121,18,11,7,35,1,0,0,1
1346,40,90,16,9,16,38,1,0,0,1
809,65,125,12,11,10,29,1,0,0,1
1495,45,109,18,10,3,32,1,0,0,1
1346,50,128,16,10,1,33,0,0,0,0
1200,40,97,12,10,4,31,1,0,0,1
500,40,96,12,6,0,33,1,0,1,1
1325,45,97,12,12,5,28,1,0,0,1
900,40,78,12,16,5,33,1,1,0,1
800,40,112,12,15,3,34,1,0,0,1
800,40,88,12,16,7,38,1,0,0,1
1034,40,97,12,15,16,36,1,0,0,1
980,40,101,12,4,12,36,1,0,0,1
884,40,106,10,19,12,34,1,0,0,1
480,40,59,10,11,5,34,0,0,0,1
923,40,105,18,7,14,34,1,0,0,1
513,45,119,17,8,5,31,0,0,0,1
1105,40,93,11,17,16,37,0,0,0,1
1193,50,82,12,19,10,36,1,0,1,1
2771,50,134,18,6,7,34,1,0,0,1
779,40,84,12,9,6,30,1,0,0,1
950,60,98,11,13,6,31,1,0,0,1
1394,40,118,16,11,8,30,1,0,0,0
1495,45,113,17,13,9,33,1,0,0,1
650,40,100,12,4,3,28,1,0,0,1
670,40,93,13,9,5,29,1,0,0,1
1126,40,119,16,5,8,32,1,0,0,1
450,64,67,12,11,1,33,0,1,0,1
1028,40,111,12,19,12,37,1,1,1,1
2404,50,106,15,8,0,32,1,0,0,1
1899,40,127,18,9,14,36,0,0,0,1
757,40,113,16,10,9,33,1,0,0,1
1250,40,115,14,9,1,29,1,0,0,1
1162,48,102,16,8,11,31,1,0,0,1
1025,40,85,15,9,13,29,1,1,0,1
1100,50,117,16,11,12,32,1,0,0,0
714,35,125,16,7,5,28,1,0,0,1
1318,35,118,16,16,17,37,1,0,0,0
1411,45,121,18,14,3,38,1,0,0,1
2162,40,115,17,4,4,38,1,0,0,1
1273,55,120,14,11,16,36,1,0,0,0
1140,48,109,12,16,15,35,1,0,0,1
578,40,109,13,7,4,30,0,0,0,1
942,40,85,12,7,10,38,1,0,0,1
1058,40,85,12,17,8,38,1,0,0,0
750,40,106,14,9,9,29,1,0,0,1
1000,60,101,12,11,6,30,1,0,0,1
951,60,116,12,9,7,30,1,0,0,1
635,47,91,12,13,2,31,1,0,0,1
1250,40,91,12,13,1,34,1,0,0,1
675,40,110,12,6,15,34,1,0,0,1
400,40,75,12,11,6,32,1,0,0,1
577,50,94,12,9,8,29,1,0,0,1
590,40,109,13,10,7,29,1,0,0,0
923,50,122,16,10,10,31,1,0,0,0
1250,50,102,12,6,2,32,0,0,0,1
1100,40,122,14,11,8,33,1,0,0,1
1130,50,105,12,18,2,37,1,0,0,1
652,50,113,12,14,4,36,0,0,0,1
618,42,104,12,6,2,30,1,0,0,1
962,50,124,16,7,14,34,1,0,0,1
529,40,110,13,14,11,32,1,0,0,0
817,40,95,12,16,14,33,1,0,0,0
962,40,120,16,8,9,32,1,0,0,0
840,40,105,12,19,15,38,1,0,0,0
866,40,121,16,7,4,28,1,0,0,0
2404,50,96,14,1,1,36,1,0,0,1
1126,40,110,12,16,2,32,1,0,0,1
1160,40,92,12,8,8,31,1,0,0,0
723,40,98,12,15,5,38,1,0,0,1
1778,40,109,16,14,13,36,1,0,0,1
1903,48,118,18,13,5,36,1,0,0,0
1010,40,97,18,7,14,34,1,0,0,1
971,40,95,17,5,11,37,1,0,0,1
525,40,99,12,9,2,34,1,0,0,1
525,40,106,12,12,13,30,1,0,0,0
670,45,117,12,10,3,30,1,0,0,0
500,45,90,12,19,4,37,1,0,0,0
1058,45,98,14,14,15,34,1,0,0,0
550,46,95,12,18,15,35,1,0,0,1
500,45,115,12,14,1,32,1,0,0,1
727,55,106,15,10,5,31,0,0,0,1
865,40,114,12,6,8,30,1,0,0,0
1081,40,92,13,8,2,30,1,0,1,1
1304,45,119,17,9,9,31,1,0,0,0
575,40,85,13,6,1,30,1,0,0,0
623,45,98,16,7,1,30,1,0,0,0
515,45,114,13,8,10,28,1,0,0,0
1273,55,84,18,14,4,37,1,0,0,1
990,40,108,13,13,9,33,1,0,0,0
600,40,107,12,16,6,33,1,0,0,0
1160,40,84,12,17,2,38,1,0,0,0
500,55,86,12,11,9,29,1,0,0,0
795,45,88,12,17,18,35,1,0,0,0
500,50,97,11,20,3,37,1,0,0,0
740,50,84,10,23,13,38,1,0,0,0
1250,40,117,16,10,7,33,1,0,0,1
1014,55,110,16,13,9,30,0,0,0,1
1250,32,104,13,13,3,33,1,0,0,1
913,40,110,14,4,13,29,1,0,0,1
1346,40,99,16,9,8,30,1,0,0,1
445,40,80,10,19,0,38,1,0,0,0
265,40,101,12,18,2,37,1,0,0,1
1250,40,117,14,7,1,28,1,0,0,1
1607,56,108,13,7,9,36,1,0,0,1
1452,35,69,16,12,15,38,1,1,0,1
1391,50,109,12,14,8,32,1,1,1,1
821,45,85,16,8,2,32,1,0,0,1
794,40,114,16,9,7,29,1,0,0,1
500,30,90,13,10,1,38,1,0,0,0
520,50,107,18,6,3,29,1,0,0,0
1730,50,117,18,12,12,37,1,0,0,1
1924,50,112,18,9,10,38,1,0,0,1
1155,60,106,18,10,2,37,1,0,0,1
2162,40,116,15,9,4,31,1,0,0,1
923,50,123,14,8,7,31,1,0,0,1
1115,40,118,16,12,13,33,1,0,0,1
449,36,91,12,7,2,30,0,0,0,1
1500,40,103,12,10,11,34,1,0,0,1
826,40,114,14,20,3,37,1,0,0,1
937,40,102,12,16,8,35,1,0,0,1
978,48,104,12,19,15,36,1,0,0,1
1031,40,112,14,14,12,33,0,0,0,1
1272,40,107,12,10,1,30,1,0,0,1
1136,50,117,14,16,12,34,1,0,1,1
800,45,110,12,19,12,36,1,0,0,1
1339,38,96,12,8,9,33,1,0,0,1
1063,40,90,12,14,12,32,1,1,0,1
935,44,97,12,10,6,29,1,0,0,1
808,40,99,12,18,13,38,1,1,0,1
375,40,99,10,12,2,30,1,0,1,0
537,40,97,12,14,8,31,0,1,0,1
1082,55,95,12,11,4,29,1,1,0,1
930,40,126,14,10,1,31,0,0,0,1
1155,40,109,17,13,4,38,1,0,0,0
548,40,86,11,7,0,33,1,1,0,1
622,45,119,16,12,1,33,1,0,0,1
841,40,102,16,10,1,29,1,0,0,1
769,55,105,18,7,15,38,0,0,0,1
587,38,117,17,8,5,29,1,0,0,0
1924,45,112,16,17,18,38,1,0,0,1
1058,40,89,12,7,3,29,1,0,0,1
417,48,131,12,7,1,28,0,0,0,1
1202,48,114,16,6,6,28,1,0,0,1
1154,40,98,14,18,2,37,1,0,0,1
1070,40,124,13,4,9,32,1,0,0,1
1202,40,125,14,10,11,29,1,0,0,1
711,45,100,18,13,3,36,1,0,0,1
1202,40,84,14,6,5,31,1,1,0,1
850,43,113,12,7,3,28,1,0,0,1
1000,40,102,16,13,11,35,1,0,0,1
490,49,82,18,7,8,31,0,0,0,1
1000,40,112,14,15,4,35,1,0,0,1
865,40,111,16,11,4,31,1,0,1,1
1375,40,96,13,3,3,30,1,0,0,1
1586,40,127,16,16,12,37,1,0,0,1
1602,65,97,15,14,14,37,1,0,0,1
3078,65,120,14,12,13,36,1,0,1,1
898,40,101,16,7,9,35,0,0,0,1
906,40,120,14,16,2,37,1,0,0,1
952,40,99,13,10,10,31,1,1,0,1
571,40,78,13,10,1,29,0,1,0,1
445,45,110,12,15,13,32,0,0,0,1
289,40,94,12,9,0,30,1,0,0,1
1444,40,120,16,12,15,37,1,0,0,1
962,55,108,12,19,21,36,1,0,0,1
1075,40,103,12,17,10,33,1,0,0,1
909,55,97,11,17,5,35,1,0,0,1
1250,40,106,12,14,19,35,1,0,0,1
620,40,99,11,10,5,29,1,1,0,1
1016,40,72,10,14,15,37,1,1,0,1
800,40,88,10,21,14,37,1,1,0,1
1050,40,119,16,7,18,37,0,0,0,1
1079,50,87,12,18,9,36,1,0,0,1
654,50,121,17,12,13,34,1,0,0,1
781,50,112,12,8,10,30,1,0,0,1
1038,48,103,15,8,2,36,1,0,1,0
1924,50,99,16,16,14,37,1,0,0,1
1202,40,101,15,15,17,37,1,0,0,1
666,70,117,15,8,2,32,1,0,0,1
905,45,109,14,11,14,36,1,0,0,1
890,70,73,12,6,8,31,1,0,0,1
817,40,116,16,10,7,31,1,0,1,0
812,40,98,12,10,2,29,0,0,0,1
577,60,104,14,6,2,30,1,0,1,1
756,40,78,14,9,2,31,1,0,0,1
1011,40,104,12,20,7,37,1,0,1,1
1155,45,85,12,14,1,34,1,0,0,1
1025,40,104,12,12,7,29,1,0,0,1
1350,40,107,12,17,12,35,1,0,0,0
1001,40,109,12,20,22,37,1,0,0,1
796,48,119,13,16,15,37,1,1,0,1
1230,50,96,13,11,12,30,1,0,0,1
754,40,93,12,13,1,30,1,0,0,1
714,40,90,12,17,1,37,1,0,0,0
1000,45,103,15,8,3,32,1,0,0,1
2067,40,106,16,12,13,33,1,0,1,1
912,40,96,16,11,5,30,1,0,0,1
600,40,114,12,8,5,30,1,0,1,1
951,40,86,11,13,1,31,1,0,0,1
711,45,110,16,8,5,32,1,0,1,1
1151,48,87,12,18,9,38,1,0,0,1
1000,40,89,12,9,5,28,1,0,0,1
841,44,106,12,15,10,31,1,0,0,1
400,70,100,12,12,3,32,1,0,0,1
1175,45,111,12,17,14,34,1,0,0,1
1202,40,100,12,18,2,37,1,0,0,1
1442,40,114,12,16,17,33,1,0,0,1
538,55,98,18,5,1,34,1,0,0,1
781,40,89,11,13,10,30,1,0,0,1
750,60,74,10,13,9,30,1,0,0,1
841,48,110,18,13,1,37,0,1,0,1
700,50,130,13,14,1,38,1,0,0,1
1346,50,108,16,9,4,36,1,0,0,1
800,45,98,12,16,12,33,1,0,0,0
1250,40,125,16,9,10,30,1,0,0,1
1105,40,104,16,5,8,29,1,0,0,1
475,52,98,14,12,1,30,0,0,0,1
762,58,104,15,6,4,33,1,0,0,0
962,40,120,12,18,19,36,1,0,0,1
721,40,134,13,9,9,30,0,0,1,1
800,50,92,9,18,13,34,1,0,0,1
658,40,129,16,11,9,30,1,0,0,1
1270,40,118,14,4,16,36,1,0,0,1
1313,40,107,12,11,7,28,1,0,0,0
824,42,92,12,19,15,38,1,0,0,1
1442,40,118,16,6,7,29,1,0,0,1
1400,42,108,17,7,3,31,1,0,0,1
1038,50,119,12,20,5,36,1,0,0,0
668,43,109,12,11,12,29,1,0,0,0
1100,40,91,12,18,10,36,1,0,0,0
1000,45,118,14,9,7,30,1,0,0,1
523,43,119,13,9,2,30,1,0,0,0
1111,40,103,14,13,13,31,1,0,0,0
962,40,120,16,6,4,28,1,0,0,0
729,47,122,18,6,13,34,1,0,0,1
690,40,119,12,9,5,28,1,0,0,1
1010,50,104,11,15,7,38,1,0,0,0
600,40,96,11,7,2,29,1,0,1,1
596,40,83,12,16,17,34,1,0,0,0
850,44,115,12,11,1,29,1,0,0,1
670,40,88,12,9,2,29,1,0,0,1
793,40,96,12,17,18,36,1,0,0,0
1442,40,123,17,14,7,38,1,0,1,0
670,50,108,12,14,8,34,1,0,1,1
876,45,116,16,10,8,29,1,0,0,1
841,40,109,18,13,2,36,1,0,0,0
975,40,97,13,8,0,31,1,0,0,1
1223,40,107,12,7,3,28,1,0,0,0
910,30,95,12,16,5,35,1,0,1,1
533,45,109,15,8,2,30,1,0,0,1
750,40,104,12,15,11,33,1,0,0,0
1206,40,110,12,16,4,38,1,0,0,1
745,40,94,13,17,1,36,0,0,0,0
900,40,103,12,15,1,37,1,0,1,0
1170,47,123,14,9,14,32,1,0,0,1
540,50,113,12,12,3,31,1,0,0,0
550,40,110,16,15,1,38,1,0,0,0
615,40,100,14,9,4,30,1,0,0,0
909,40,95,13,6,2,31,1,0,0,1
769,40,100,12,18,12,36,1,0,0,0
984,40,108,13,17,18,37,1,0,0,1
833,60,101,12,15,12,37,1,0,0,1
879,70,90,12,17,10,35,0,0,0,1
1027,45,115,12,16,7,35,1,0,0,1
1000,55,114,16,10,1,33,1,0,1,0
465,43,84,13,10,1,29,1,0,0,1
1100,40,92,13,21,12,38,1,1,0,1
641,45,125,14,9,0,37,1,0,0,1
1035,48,107,12,21,14,38,1,0,0,1
1212,40,129,14,9,3,32,0,0,0,1
950,40,98,12,11,6,30,1,0,0,1
938,44,108,12,19,20,38,1,0,0,1
1250,40,114,16,8,8,30,1,0,0,1
586,60,111,18,6,10,34,1,0,0,0
693,53,101,12,7,6,28,1,0,0,0
562,40,99,12,18,12,34,0,0,0,0
375,60,75,12,12,5,30,0,0,0,0
673,40,91,12,7,11,38,1,0,0,0
654,50,113,17,1,13,33,1,0,0,0
692,50,120,12,17,7,35,1,0,0,0
1111,40,98,14,10,1,29,1,0,0,1
1368,45,107,16,11,1,33,1,0,1,1
1282,45,121,18,7,13,32,1,0,0,1
1250,60,115,11,19,4,38,1,0,0,1
1346,40,134,15,15,7,35,1,0,0,1
1424,50,96,17,15,12,37,1,0,0,1
854,48,120,16,8,5,29,0,0,0,1
888,50,105,15,9,5,32,0,0,0,1
1161,50,121,12,5,10,34,1,0,0,1
583,58,113,16,9,0,30,1,0,0,1
1260,45,106,12,5,3,29,1,0,0,1
947,48,104,18,8,13,35,1,0,0,0
1850,40,80,11,14,15,33,1,0,0,1
1575,40,117,12,13,2,30,1,0,0,1
758,38,126,16,10,8,28,0,0,0,1
1442,40,112,12,19,15,36,1,0,0,1
489,55,104,13,20,4,38,1,0,1,1
1126,40,116,12,5,0,31,1,1,0,1
1000,40,70,12,12,5,32,0,1,0,1
500,70,83,12,13,11,32,1,0,0,1
1200,50,84,12,13,9,32,1,0,0,1
565,45,82,10,15,3,33,1,0,0,0
1920,40,109,12,13,2,31,1,0,0,0
684,45,111,14,7,7,29,1,0,0,1
774,40,94,12,20,4,37,1,0,0,0
233,60,96,16,7,4,30,1,0,0,0
975,40,101,13,12,10,30,1,0,0,0
1366,40,90,12,13,1,30,1,0,0,1
2137,40,120,16,16,3,37,1,0,1,1
700,40,120,16,10,1,29,1,0,1,1
1200,40,108,12,16,11,33,1,0,0,1
1161,40,99,13,16,18,36,1,0,0,1
729,60,80,11,16,15,34,1,0,0,1
750,45,93,11,17,2,36,1,0,0,1
1026,45,85,12,4,16,38,1,0,0,1
1111,45,118,15,11,3,32,1,0,0,1
625,50,115,12,12,8,31,1,0,0,1
1200,42,119,16,11,5,30,1,0,0,1
1541,40,94,12,8,1,32,1,0,0,1
1154,40,109,16,12,9,34,1,0,0,1
310,40,104,13,10,0,33,0,0,0,0
610,50,89,12,14,4,30,1,0,0,0
1749,43,101,12,16,17,36,1,0,0,0
1000,40,96,16,9,1,31,0,0,1,1
350,40,109,12,14,1,36,1,0,0,0
765,45,94,12,17,18,37,1,0,0,0
790,40,115,12,15,2,34,1,0,0,0
818,47,92,12,16,17,38,1,0,0,0
477,60,71,9,12,1,30,1,0,0,0
938,50,130,14,15,1,33,1,0,0,0
2099,55,119,16,10,4,32,1,0,0,1
350,40,74,12,14,3,32,1,0,0,1
940,48,104,12,13,0,32,1,1,0,1
1202,40,124,15,11,8,28,1,0,0,1
450,40,94,15,9,4,31,1,0,0,0
1058,40,120,16,16,13,37,1,0,0,0
1000,40,96,11,15,15,37,1,0,0,1
318,40,67,12,16,5,36,1,1,1,1
556,40,69,11,13,9,34,0,1,0,1
958,60,98,12,11,9,28,1,0,0,1
995,40,92,9,22,13,38,1,1,0,1
1600,50,109,14,16,5,33,1,0,0,0
606,45,100,18,6,5,30,0,0,0,0
511,45,101,12,13,1,30,1,0,0,1
1411,45,111,16,11,12,32,1,0,1,1
1346,40,106,16,15,11,37,1,0,0,1
1522,46,102,12,15,16,37,1,0,0,0
1075,40,115,14,9,10,30,1,0,0,0
1200,50,99,12,11,11,28,1,0,0,1
1377,37,118,16,15,1,36,1,0,0,1
874,55,132,13,8,2,33,1,0,0,0
625,40,108,13,11,9,30,1,0,0,1
1250,32,98,12,17,2,33,1,0,0,1
1082,40,111,13,20,12,36,1,0,0,1
693,40,79,11,18,3,38,1,0,0,0
727,55,97,12,11,11,31,1,0,0,0
615,50,99,15,16,15,38,1,0,0,0
913,40,101,16,5,7,31,1,0,0,1
884,46,120,17,4,10,36,1,0,0,0
698,43,97,12,10,4,29,1,0,0,1
800,55,106,12,17,18,36,1,0,0,0
812,40,131,16,9,3,30,0,0,0,0
1000,40,93,11,16,14,34,1,0,0,1
549,49,79,12,11,3,32,0,0,0,0
1300,35,100,12,13,15,31,1,0,0,1
923,50,107,16,9,8,33,1,0,0,1
1539,40,112,12,15,15,32,1,0,0,0
721,40,105,12,11,9,30,1,0,0,0
815,40,114,12,15,14,31,1,0,0,0
600,80,116,12,20,2,38,1,0,0,0
1100,40,104,12,18,7,37,1,0,0,1
1058,40,85,12,18,19,35,1,0,0,1
962,40,93,12,15,1,30,1,0,0,1
433,50,100,12,5,9,37,1,0,0,0
940,40,71,11,9,2,29,1,0,0,0
1417,38,88,16,9,10,32,0,0,0,1
1000,65,93,12,11,9,29,1,0,0,1
500,40,98,13,14,5,32,1,0,0,0
800,50,110,14,8,5,28,1,0,0,1
766,40,109,12,17,18,35,1,0,0,0
750,43,94,14,12,10,33,1,0,0,0
550,40,77,12,15,2,37,1,0,0,0
795,52,89,11,16,4,34,1,0,0,1
723,40,102,12,12,10,30,1,0,0,1
1039,40,113,14,12,8,34,1,0,0,1
200,55,103,10,11,15,32,1,0,1,1
400,40,90,10,12,1,32,1,1,0,1
575,40,96,11,17,1,35,1,0,1,1
850,40,97,11,16,5,37,1,0,1,1
508,50,87,12,16,1,32,1,1,1,1
1162,45,89,12,11,4,37,1,0,1,1
1199,43,70,13,13,5,30,1,1,1,1
1270,40,104,16,8,4,31,1,0,1,1
350,45,116,16,5,3,33,1,0,1,1
963,40,85,14,9,9,28,1,1,1,1
1463,45,104,15,14,11,37,1,0,1,1
802,40,99,12,13,12,29,1,1,1,1
642,45,93,12,12,7,30,1,1,1,1
751,40,114,13,9,2,28,1,0,1,1
488,40,103,17,5,3,31,1,0,1,1
1400,40,92,12,15,5,36,1,0,1,1
940,45,98,18,10,7,31,1,0,1,1
866,40,114,13,15,16,37,1,0,1,1
675,40,77,12,20,4,38,1,1,1,1
375,40,89,14,9,3,30,1,1,1,1
325,40,93,14,10,1,33,1,1,1,1
346,40,110,12,16,17,38,1,0,1,1
1442,40,132,17,8,1,33,1,0,1,1
560,49,112,16,13,2,32,1,0,1,0
550,56,99,12,17,11,36,1,0,1,1
950,44,96,16,8,10,32,1,1,1,1
684,45,106,13,16,2,38,1,0,1,1
1322,40,128,16,7,1,33,1,0,1,1
1634,40,95,12,18,3,38,1,0,1,1
417,40,80,12,8,0,30,0,0,1,1
472,45,71,11,9,0,32,1,0,1,1
666,50,89,12,16,1,34,1,1,1,1
1679,55,127,18,10,3,32,1,0,1,1
1039,40,114,16,1,9,31,0,0,1,1
1250,40,102,13,13,11,30,1,0,1,1
760,40,88,12,12,15,31,1,0,1,1
1154,42,88,12,14,12,29,1,0,1,1
1602,60,110,15,14,1,37,1,0,0,1
1442,40,110,13,13,13,29,1,1,1,1
865,40,130,16,5,3,30,1,0,0,1
705,50,100,12,15,12,36,1,0,1,1
1000,40,101,12,16,1,35,1,0,1,1
852,44,89,10,13,9,32,1,0,1,1
770,40,80,12,16,14,35,1,0,0,1
1000,40,72,12,16,9,34,1,0,0,1
1329,55,115,18,10,5,36,1,0,0,1
1682,40,115,16,10,4,37,1,0,1,1
577,55,108,16,4,0,31,1,1,1,1
685,40,93,12,17,7,38,0,0,1,1
577,40,111,16,8,8,29,0,1,1,1
1040,40,101,12,19,9,38,1,1,1,1
1250,40,92,16,10,11,32,0,0,1,1
600,40,115,13,7,7,28,0,0,1,1
480,40,76,12,17,3,35,0,1,1,1
1000,40,93,11,11,0,29,1,0,1,1
988,48,91,12,15,15,36,1,0,1,1
478,45,90,10,19,10,34,1,0,1,1
440,40,84,12,11,2,30,1,1,1,1
485,40,120,12,11,1,30,1,1,1,1
705,40,89,9,19,0,36,1,1,1,1
1550,40,104,12,16,1,34,1,0,1,0
960,40,107,12,11,9,29,1,1,1,1
1000,40,100,12,16,14,32,1,0,1,1
625,40,129,18,4,5,36,1,0,1,0
1346,40,112,16,14,14,35,1,0,0,1
961,40,76,12,13,13,31,0,1,0,1
479,40,97,12,15,1,38,1,0,1,0
1201,50,98,11,17,16,36,1,0,1,0
1346,45,60,16,8,2,31,1,0,1,1
1122,35,132,18,13,8,32,1,0,1,1
543,45,90,14,5,7,38,1,1,1,1
450,40,63,11,12,4,31,1,1,1,1
507,55,110,14,10,4,32,1,0,1,1
547,60,88,11,17,5,34,1,0,1,1
586,56,98,11,18,16,35,1,0,1,1
462,55,61,12,6,4,29,1,1,1,0
705,40,76,12,13,8,37,1,1,0,1
1566,40,127,12,7,1,29,1,0,0,1
1634,40,94,13,18,18,36,1,0,1,1
1282,45,97,16,4,1,32,1,0,0,1
556,40,127,16,6,2,31,1,1,1,1
1200,40,109,15,7,8,33,1,0,0,1
855,45,89,12,6,6,31,1,0,1,0
1053,40,90,12,18,7,37,1,0,1,0
1000,48,105,12,11,4,28,1,0,1,0
900,55,100,12,18,5,34,0,0,0,1
1602,45,111,16,10,10,31,1,0,1,0
508,50,125,17,9,2,31,1,0,1,1
1500,60,124,16,6,6,29,1,0,1,0
1682,50,107,14,15,9,32,1,0,1,1
750,40,110,13,13,1,35,1,0,1,1
843,40,102,14,8,7,29,1,0,1,0
409,40,93,12,17,18,38,0,0,1,0
1004,40,81,12,17,15,34,1,0,1,0
650,40,99,12,13,10,30,1,0,1,0
808,40,93,12,17,9,37,1,1,1,0
2137,45,102,13,8,2,30,1,0,1,0
761,48,95,12,14,21,38,1,0,1,1
769,40,98,16,8,3,35,0,0,1,1
345,40,84,12,7,8,31,1,1,1,1
495,40,88,12,6,10,31,1,0,1,1
987,38,109,16,9,3,31,1,0,1,1
2500,60,82,12,21,1,38,1,0,1,0
1098,45,105,14,6,1,32,0,0,1,1
1212,40,95,12,6,16,38,1,0,1,0
577,40,92,15,8,1,28,1,1,1,1
390,59,74,15,10,3,30,1,1,1,1
1500,40,123,16,9,12,32,1,0,1,1
