state,year,pop,packpc,income,avgprs,taxs
ND,1995,641548,79.80696869,12243384,192.2486725,78.88200378
NE,1995,1635142,87.27070618,36293064,182.1750031,66.67500305
NH,1995,1145604,156.3367462,28649564,166.6416626,49
NJ,1995,7965523,80.37136841,233208576,203.0871735,75.49549866
NM,1995,1682417,64.66886902,31716160,176.1462402,53.38791656
NV,1995,1525777,93.52611542,39377292,206.5991669,72.51583099
NY,1995,18150928,70.81732178,503163328,221.8580017,88.53299713
OH,1995,11155493,111.3801041,255312928,165.8912506,55.89958191
OK,1995,3265547,108.6801071,63333300,170.1349945,55.1016655
OR,1995,3141421,92.15574646,71209312,190.3000031,62
PA,1995,12044780,95.64308929,285923232,176.1631622,64.97149658
RI,1995,989203,92.59980011,23786644,224.4592438,94.68424988
SC,1995,3699943,108.0827484,72050072,152.8187408,38.27708435
SD,1995,728251,97.21923065,14454129,168.0379944,53.46300125
TN,1995,5241168,122.3200531,114259984,167.0670013,49.37533188
TX,1995,18679706,73.07930756,402096768,198.2023315,76.21900177
UT,1995,1976774,49.27219772,37278220,180.9762573,59.11791611
VA,1995,6601392,105.3868713,161441792,166.6612549,34.43625641
VT,1995,582827,122.3347549,12448607,175.6387482,52.36375046
WA,1995,5431024,65.53092194,129680832,239.1093445,96.14266968
WI,1995,5137004,92.46634674,115959680,201.3812561,71.58958435
WV,1995,1820560,115.5688324,32611268,166.5171814,50.42549896
WY,1995,478447,112.2381363,10293195,158.5416565,36
